Time,Filt_X,Filt_Y,Filt_Z
1776442292.425,-0.7389,-0.9599,0.4514
1776442292.559,-0.6715,-0.9799,0.5145
1776442292.624,-0.6586,-0.9852,0.5125
1776442292.727,-0.6390,-0.9863,0.4931
1776442292.851,-0.6285,-0.9805,0.4678
1776442292.964,-0.6367,-0.9796,0.4435
1776442293.080,-0.6119,-0.9774,0.4287
1776442293.206,-0.5580,-0.9568,0.4286
1776442293.265,-0.4645,-0.9386,0.4286
1776442293.382,-0.3783,-0.9175,0.4287
1776442293.447,-0.2923,-0.8816,0.4244
1776442293.569,-0.1978,-0.8281,0.4040
1776442293.686,-0.0938,-0.7729,0.3785
1776442293.769,-0.0466,-0.7172,0.3943
1776442293.887,-0.0249,-0.6568,0.4085
1776442293.998,-0.0008,-0.5850,0.4394
1776442294.065,0.0292,-0.5109,0.4670
1776442294.187,0.0719,-0.4358,0.4880
1776442294.254,0.1088,-0.3559,0.5093
1776442294.419,0.1557,-0.2777,0.5309
1776442294.487,0.2041,-0.1963,0.5436
1776442294.607,0.2490,-0.1176,0.5642
1776442294.726,0.2829,-0.0453,0.5851
1776442294.838,0.3101,0.0320,0.5973
1776442294.951,0.3423,0.1122,0.5998
1776442295.013,0.3908,0.1939,0.6007
1776442295.128,0.4270,0.2764,0.5965
1776442295.239,0.4690,0.3548,0.5935
1776442295.303,0.4969,0.4351,0.5957
1776442295.469,0.5206,0.5120,0.6012
1776442295.539,0.5553,0.5867,0.5998
1776442295.655,0.5788,0.6556,0.6031
1776442295.775,0.6178,0.7210,0.6137
1776442295.841,0.6440,0.7752,0.6242
1776442295.958,0.6447,0.8228,0.6347
1776442296.072,0.6523,0.8620,0.6319
1776442296.135,0.7042,0.9139,0.6210
1776442296.274,0.7606,0.9558,0.6186
1776442296.337,0.8020,0.9916,0.6081
1776442296.450,0.8475,1.0328,0.5882
1776442296.581,0.8954,1.0462,0.6072
1776442296.698,0.9271,1.0651,0.5920
1776442296.818,0.8734,1.0741,0.5960
1776442296.884,0.8571,1.0729,0.5984
1776442297.002,0.8991,1.0613,0.5909
1776442297.066,0.9366,1.0302,0.5775
1776442297.128,0.9624,0.9875,0.5605
1776442297.256,0.9633,0.9293,0.5369
1776442297.368,0.9671,0.8576,0.5095
1776442297.434,0.9637,0.7825,0.4932
1776442297.608,0.9561,0.6968,0.4791
1776442297.723,0.9461,0.6050,0.4621
